Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2019-12-13,SWA,392,MSY,FLL,Main,,,,false,,2019-12-13T17:55,2019-12-13T18:22,,2019-12-13T18:35,2019-12-13T18:55,2019-12-13T18:55,2019-12-13T20:50,2019-12-13T21:17,Boeing 737-700,N473WN,W5GT7Y,,,,,,eb3210a0-c5ce-4713-ac04-67dcfaa0dee6,be4c4286-2c02-4dca-86d4-56e19aa348f7,f874b6f5-ac69-41f2-8cf4-76cf1a1aca9c,5420aa1f-50fb-46f2-b2e8-b7e99ff9f4fb,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2019-12-13,SWA,334,FLL,BDL,,,Main,,false,,2019-12-13T21:35,2019-12-13T22:47,,2019-12-13T22:55,2019-12-13T21:35,2019-12-13T21:35,2019-12-14T00:20,2019-12-14T01:16,Boeing 737-800,N8665D,W5GT7Y,,,,,,186d18fb-0557-4bd4-a586-20dfa7b84cc0,be4c4286-2c02-4dca-86d4-56e19aa348f7,5420aa1f-50fb-46f2-b2e8-b7e99ff9f4fb,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2020-12-26,SWA,32,BDL,TPA,Main,6,,C37,false,,2020-12-26T16:50,2020-12-26T16:49,2020-12-26T17:00,2020-12-26T16:58:01,2020-12-26T19:37,2020-12-26T19:33,2020-12-26T19:44,2020-12-26T19:40,Boeing 737-700,N569WN,,,,,,,434bf022-09f9-4ef5-8716-5e60f45b5d7f,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,af50854a-e728-4e40-885b-d8b73b69f6e8,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2020-12-30,SWA,774,TPA,BWI,,C39,Main,B10,false,,2020-12-30T12:10,2020-12-30T12:07,2020-12-30T12:25,2020-12-30T12:13,2020-12-30T14:19,2020-12-30T14:00,2020-12-30T14:25,2020-12-30T14:05,Boeing 737-800,N8583Z,,,,,,,dec70198-1a0c-4f78-9d1f-a6035c74b2aa,be4c4286-2c02-4dca-86d4-56e19aa348f7,af50854a-e728-4e40-885b-d8b73b69f6e8,4923b37c-381e-48e6-ba91-7c75d4151f64,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2020-12-30,SWA,392,BWI,BDL,Main,B7,Main,4,false,,2020-12-30T15:10,2020-12-30T15:12,2020-12-30T15:20,2020-12-30T15:23:20,2020-12-30T16:10,2020-12-30T16:09,2020-12-30T16:15,2020-12-30T16:15,Boeing 737-700,N231WN,,,,,,,408e4247-84ff-421c-bc61-90af842156f9,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2021-07-09,SWA,581,BDL,BWI,Main,4,Main,B4,false,,2021-07-09T16:45,2021-07-09T16:48,2021-07-09T16:55,2021-07-09T16:55:21,2021-07-09T17:55,2021-07-09T17:56,,2021-07-09T18:02,Boeing 737-800,N8502Z,,,,,,,ed023ca0-8232-49a1-b3a5-0961e4570fe3,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,4923b37c-381e-48e6-ba91-7c75d4151f64,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2021-07-09,SWA,2074,BWI,SAV,Main,A10,Main,9,false,,2021-07-09T19:10,2021-07-09T19:13,2021-07-09T19:20,2021-07-09T19:34:40,2021-07-09T20:45,2021-07-09T20:53,2021-07-09T20:49,2021-07-09T20:58,Boeing 737-700,N498WN,,,,,,,8bc79d77-a964-4d48-ae9b-49ff1a2b1083,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,46bb7aec-1c6b-409d-803a-de29e8700bdf,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-02-04,SWA,1832,BDL,BWI,Main,4,Main,A9,false,,2022-02-04T16:55,2022-02-04T18:08,2022-02-04T17:05,2022-02-04T18:17:18,2022-02-04T18:00,2022-02-04T19:19,2022-02-04T18:19,2022-02-04T19:26,Boeing 737-700,N929WN,,,,,,,b09174c2-dfda-4575-8a15-64f8ffe55f64,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-02-04,SWA,359,BWI,BHM,Main,B6,,C1,false,,2022-02-04T20:20,2022-02-04T20:25,2022-02-04T20:30,2022-02-04T20:49:16,2022-02-04T21:20,2022-02-04T21:57,2022-02-04T21:38,2022-02-04T22:00,Boeing 737-700,N493WN,,,,,,,15efea90-af96-4a4f-9ff9-1b07bb63d4e0,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,ad30c1c9-c6fb-42f3-a389-de328401691a,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-02-06,SWA,268,BHM,BWI,,C5,Main,B14,false,,2022-02-06T06:40,2022-02-06T06:43,2022-02-06T06:50,2022-02-06T06:52:05,2022-02-06T09:30,2022-02-06T09:19,2022-02-06T09:31,2022-02-06T09:30,Boeing 737-700,N230WN,,,,,,,e4372d0f-2ec3-49f5-94e9-756fb6248383,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-02-06,SWA,1438,BWI,BDL,Main,B2,Main,6,false,,2022-02-06T10:55,2022-02-06T10:56,2022-02-06T11:05,2022-02-06T11:14:45,2022-02-06T12:00,2022-02-06T12:12,2022-02-06T12:25,2022-02-06T12:19,Boeing 737-800,N8544Z,,,,,,,bdabd0bb-30a9-4f91-97b8-a40ec8a99024,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-04-09,DLH,423,BOS,FRA,E,E10,1,Z25,false,,2022-04-09T17:25,2022-04-09T20:00,2022-04-09T17:45,2022-04-09T20:25,2022-04-10T06:04,2022-04-10T08:50,2022-04-10T06:20,2022-04-10T08:59,Boeing 747-400,DABTK,,,,,,,ccbb88c8-c4f1-483f-ac5b-b13127cf2630,f5251aea-6a53-45b9-b762-9f6580de440e,813ec62f-c303-44d9-a041-a4434d6fd652,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2022-04-18,DLH,422,FRA,BOS,1,Z69,E,E10,false,,2022-04-18T13:30,2022-04-18T13:39,2022-04-18T13:40,2022-04-18T13:58,2022-04-18T15:07,2022-04-18T15:25,2022-04-18T15:25,2022-04-18T15:33,Boeing 747-400,DABTK,,,,,,,5390fc79-10cb-4359-9ec3-043f9f72c5c9,f5251aea-6a53-45b9-b762-9f6580de440e,9e8dd658-32ff-4277-acb3-8c2b5dc39431,813ec62f-c303-44d9-a041-a4434d6fd652,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2022-04-19,DLH,337,NAP,FRA,,A7,1,,false,,2022-04-19T06:40,2022-04-19T06:51,2022-04-19T06:50,2022-04-19T07:02:52,2022-04-19T08:35,2022-04-19T08:56:13,2022-04-19T08:45,2022-04-19T09:01,Airbus A321,DAISV,,,,,,,dadaf614-3849-4df5-9773-8f9d32aa331f,f5251aea-6a53-45b9-b762-9f6580de440e,bf1b680d-e40a-479e-b446-69e8f5efe76b,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2022-10-09,SWA,2971,BHM,BWI,,C1,Main,B4,false,,2022-10-09T06:05,2022-10-09T06:06,2022-10-09T06:15,2022-10-09T06:15:56,2022-10-09T08:50,2022-10-09T08:46,2022-10-09T09:00,2022-10-09T08:51,Boeing 737-800,N8680C,,,,,,,a4c84d0c-b807-4ae3-99e2-505161721641,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,4923b37c-381e-48e6-ba91-7c75d4151f64,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-10-09,SWA,1817,BWI,BDL,Main,A14,Main,6,false,,2022-10-09T10:40,2022-10-09T10:41,2022-10-09T10:50,2022-10-09T10:53:02,2022-10-09T11:50,2022-10-09T11:52,2022-10-09T12:00,2022-10-09T11:58,Boeing 737-800,N8667D,,,,,,,e702f5e2-c6a4-4489-99ba-ea1dd440950f,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-10-11,AAL,2951,BDL,DCA,Main,A29,2,D42,false,,2022-10-11T17:42,2022-10-11T17:42,2022-10-11T17:52,2022-10-11T17:51:52,2022-10-11T18:51,2022-10-11T18:52:17,2022-10-11T19:01,2022-10-11T18:56,Airbus A319,N813AW,,,,,,,51f10931-79cf-4aed-8c36-42cf5b2038e5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-10-11,AAL,5561,DCA,BHM,2,E53,,B3,false,,2022-10-11T20:08,2022-10-11T20:01,2022-10-11T20:18,2022-10-11T20:24:38,2022-10-11T21:10,2022-10-11T20:55,2022-10-11T21:20,2022-10-11T20:58,Bombardier CRJ700,N540EG,,,,,,,73cf2732-b090-4252-ab78-7f3b08bb31b7,ae1fc6a5-c42d-4e70-ba63-d641d248d270,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,ad30c1c9-c6fb-42f3-a389-de328401691a,,1404a49a-a829-47ff-b37b-6c9273f21c77
2022-11-22,SWA,706,BHM,BWI,,C5,Main,C8,false,,2022-11-22T18:25,2022-11-22T19:22,2022-11-22T18:35,2022-11-22T19:30:28,2022-11-22T21:10,2022-11-22T21:57:44,2022-11-22T21:20,2022-11-22T22:13,Boeing 737-700,N468WN,,,,,,,cbe3e559-5193-4e32-90fd-ba5a3f1c1d81,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-11-27,AAL,2418,BDL,CLT,Main,A25,Main,B1,false,,2022-11-27T06:05,2022-11-27T06:05,2022-11-27T06:15,2022-11-27T06:18:19,2022-11-27T08:03,2022-11-27T08:01,2022-11-27T08:13,2022-11-27T08:10,Airbus A320,N660AW,,,,ECONOMY,,,cfc8125f-e616-4403-b48b-1846d672e1d2,ae1fc6a5-c42d-4e70-ba63-d641d248d270,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,dd390a1f-e92a-4411-ab72-04db16d42030
2022-11-27,AAL,1442,CLT,BHM,Main,B2,,B4,false,,2022-11-27T09:07,2022-11-27T09:31,2022-11-27T09:17,2022-11-27T10:06:10,2022-11-27T09:23,2022-11-27T10:11:01,2022-11-27T09:33,2022-11-27T10:15,Airbus A319,N742PS,,,,ECONOMY,,,1b7dd2cf-f066-48ff-b73d-f2ff126ce81c,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,ad30c1c9-c6fb-42f3-a389-de328401691a,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2022-12-12,SWA,1671,SAV,BWI,Main,9,Main,A7,false,,2022-12-12T19:10,2022-12-12T19:24,2022-12-12T19:20,2022-12-12T19:32:42,2022-12-12T20:35,2022-12-12T20:58:29,2022-12-12T20:45,2022-12-12T21:05,Boeing 737-700,N737JW,,,,,,,2359737a-c9ef-4479-abc1-6de1f0f845d2,be4c4286-2c02-4dca-86d4-56e19aa348f7,46bb7aec-1c6b-409d-803a-de29e8700bdf,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-12-12,SWA,1630,BWI,BDL,Main,B12,Main,6,false,,2022-12-12T21:55,2022-12-12T22:01,2022-12-12T22:05,2022-12-12T22:08:47,2022-12-12T22:55,2022-12-12T22:59,2022-12-12T23:05,2022-12-12T23:05,Boeing 737-800,N8316H,,,,,,,c983d5a4-0471-4859-9cb5-d3e337051677,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-12-13,SWA,1671,SAV,BWI,Main,9,Main,A9,false,,2022-12-13T19:10,2022-12-13T19:23,2022-12-13T19:20,2022-12-13T19:31:13,2022-12-13T20:35,2022-12-13T20:49:46,2022-12-13T20:45,2022-12-13T20:54,Boeing 737-700,N229WN,3LBBBN,,,,,,cbd47423-6202-4fa6-9e20-51b6ea7477c8,be4c4286-2c02-4dca-86d4-56e19aa348f7,46bb7aec-1c6b-409d-803a-de29e8700bdf,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2022-12-13,SWA,1630,BWI,BDL,Main,B15,Main,6,false,,2022-12-13T21:55,2022-12-13T22:16,2022-12-13T22:05,2022-12-13T22:28:04,2022-12-13T22:55,2022-12-13T23:17:26,2022-12-13T23:05,2022-12-13T23:22,Boeing 737 MAX 8,N8803L,3LBBBN,,,,,,46d277f6-c08c-417f-9910-dd66644a5b3a,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2023-01-07,SWA,4378,BDL,BNA,Main,6,Main,C21,false,,2023-01-07T12:50,2023-01-07T13:05,2023-01-07T13:00,2023-01-07T13:14:36,2023-01-07T14:25,2023-01-07T14:21:14,2023-01-07T14:35,2023-01-07T14:26,Boeing 737-700,N285WN,3LBBBN,,,,,,f47e0f89-c196-4f4e-a2de-4d50d86f9627,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,812e405f-26e2-44fb-83fc-db16918270b2,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-01-07,SWA,2733,BNA,SAV,Main,C20,Main,9,false,,2023-01-07T15:10,2023-01-07T15:04,2023-01-07T15:20,2023-01-07T15:13:44,2023-01-07T17:25,2023-01-07T17:11:18,2023-01-07T17:35,2023-01-07T17:15,Boeing 737-700,N202WN,3LBBBN,,,,,,fd66d52a-151a-4914-8d3c-382dfddb89b4,be4c4286-2c02-4dca-86d4-56e19aa348f7,812e405f-26e2-44fb-83fc-db16918270b2,46bb7aec-1c6b-409d-803a-de29e8700bdf,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-14,SWA,343,BDL,MDW,Main,6,Main,B18,false,,2023-04-14T05:15,2023-04-14T05:14,2023-04-14T05:25,2023-04-14T05:26:49,2023-04-14T06:29,2023-04-14T06:21,2023-04-14T06:40,2023-04-14T06:28,Boeing 737 MAX 8,N8808Q,,,,,,,9d2115b6-6244-41e0-96cc-413d345b9bfc,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,b1bccd34-3f11-416a-998f-65cc527ca2a0,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2023-04-14,SWA,1873,MDW,BHM,Main,A15,,C1,false,,2023-04-14T08:45,2023-04-14T08:47,2023-04-14T08:55,2023-04-14T08:58:43,2023-04-14T10:22,2023-04-14T10:17,2023-04-14T10:30,2023-04-14T10:21,Boeing 737-700,N230WN,,,,,,,9945a061-478e-46b5-9659-4c75404c9062,be4c4286-2c02-4dca-86d4-56e19aa348f7,b1bccd34-3f11-416a-998f-65cc527ca2a0,ad30c1c9-c6fb-42f3-a389-de328401691a,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-15,SWA,2517,BDL,BWI,Main,6,Main,B14,false,,2023-04-15T06:05,2023-04-15T06:05,2023-04-15T06:15,2023-04-15T06:20:48,2023-04-15T07:07,2023-04-15T07:12,2023-04-15T07:15,2023-04-15T07:17,Boeing 737 MAX 8,N8807L,,,,,,,0cf1ed2f-a8d4-4d5d-8c9b-b00b8b304287,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,4923b37c-381e-48e6-ba91-7c75d4151f64,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2023-04-15,SWA,2491,BWI,BHM,Main,B5,,C1,false,,2023-04-15T08:30,2023-04-15T08:30,2023-04-15T08:40,2023-04-15T08:53:16,2023-04-15T09:17,2023-04-15T09:28,2023-04-15T09:35,2023-04-15T09:32,Boeing 737-700,N7846A,,,,,,,58f565d8-2a31-4e08-957f-82b71601e520,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,ad30c1c9-c6fb-42f3-a389-de328401691a,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-16,SWA,2772,BHM,DEN,,C3,Main,C61,false,,2023-04-16T19:10,2023-04-16T19:32,2023-04-16T19:20,2023-04-16T19:45:25,2023-04-16T20:54,2023-04-16T21:21:34,2023-04-16T21:15,2023-04-16T21:29,Boeing 737-700,N7883A,,,,,,,535f758c-fa7b-47d5-a973-4405d4df5b39,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,d00b5728-0678-4689-b660-fe9e583203dc,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-16,SWA,1807,BWI,BDL,Main,B15,Main,6,false,,2023-04-16T22:10,2023-04-16T22:42,2023-04-16T22:20,2023-04-16T23:01:28,2023-04-16T23:07,2023-04-16T23:53,2023-04-16T23:25,2023-04-17T00:03,Boeing 737 MAX 8,N8834L,,,,,,,af728119-263e-4957-b3f4-126b3a47210f,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2023-04-17,SWA,2772,BHM,BWI,,C1,Main,B5,false,,2023-04-17T16:30,2023-04-17T16:43,2023-04-17T16:40,2023-04-17T16:57:45,2023-04-17T19:09,2023-04-17T19:26:47,2023-04-17T19:30,2023-04-17T19:32,Boeing 737-700,N938WN,4L46LB,,,,,,4b644cd1-d2ad-4df5-ab4f-133b1bfa8dbb,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-17,SWA,1807,BWI,BDL,Main,B14,Main,4,false,,2023-04-17T21:55,2023-04-17T22:45,2023-04-17T22:05,2023-04-17T22:54:57,2023-04-17T22:49,2023-04-17T23:40,2023-04-17T23:10,2023-04-17T23:44,Boeing 737-800,N8571Z,4L46LB,,,,,,d7d98c84-e4fe-43c1-b411-d54f856a845a,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2023-04-23,SWA,1769,BHM,BWI,,C1,Main,A8,false,,2023-04-23T18:05,2023-04-23T18:18,2023-04-23T18:15,2023-04-23T18:27:46,2023-04-23T20:51,2023-04-23T21:02:22,2023-04-23T21:00,2023-04-23T21:08,Boeing 737-700,N7736A,,,,,,,ad77fec4-1551-4a90-ba84-2193482b99f9,be4c4286-2c02-4dca-86d4-56e19aa348f7,ad30c1c9-c6fb-42f3-a389-de328401691a,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2023-04-23,SWA,1807,BWI,BDL,Main,A13,Main,4,false,,2023-04-23T22:10,2023-04-23T22:50,2023-04-23T22:20,2023-04-23T22:59:01,2023-04-23T23:16,2023-04-23T23:40:47,2023-04-23T23:25,2023-04-23T23:49,Boeing 737 MAX 8,N871HK,,,,,,,7a2a99bc-4dec-4e70-91e4-dd1eebd1da34,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
